Day,Row,Column,Pesticide,SoilType,BodyBurden,Soil,Weight,Total,Formulation,Parent
2,5,H,ATZ,OLS,0.236549387,21.6018978,17.3882,0,0,1
2,7,E,ATZ,OLS,1.899564101,29.24066302,11.7687,0,0,1
2,1,D,ATZ,PLE,0.767257584,23.57455996,10.5239,0,1,1
2,1,F,ATZ,PLE,0.364299722,23.86419462,14.6051,0,1,1
2,2,D,ATZ,PLE,0.343875786,21.82301203,16.9753,0,1,1
2,5,D,ATZ,PLE,0.258272799,22.10244631,12.6029,0,1,1
2,6,B,ATZ,PLE,0.30945185,18.46099086,11.4693,0,1,1
2,6,F,ATZ,PLE,1.100532073,8.649921179,11.7396,0,1,1
2,1,E,ATZ,OLS,0.566230184,14.23919056,11.0822,0,1,1
2,2,G,ATZ,OLS,1.985039079,19.48324518,10.069,0,1,1
2,4,I,ATZ,OLS,0.267044361,18.09468181,11.0174,0,1,1
2,5,A,ATZ,OLS,0.235613016,18.49296275,12.3638,0,1,1
2,5,G,ATZ,OLS,0.312408245,7.940986928,10.1878,0,1,1
2,7,D,ATZ,OLS,0.24383875,16.93341046,11.5272,0,1,1
2,1,I,Imid,PLE,0.018120187,0.970934893,13.986,1,0,1
2,2,B,Imid,PLE,0.050150934,1.646094454,18.1095,1,0,1
2,5,I,Imid,PLE,0.062813074,1.347997271,8,1,0,1
2,6,C,Imid,PLE,0.015920471,0.205311904,13.1817,1,0,1
2,6,E,Imid,PLE,0.074721574,2.997491181,12.9241,1,0,1
2,7,I,Imid,PLE,0.019896995,0.785382305,13.0377,1,0,1
2,2,A,Imid,OLS,0.022283481,1.293386968,10.7167,1,0,1
2,2,C,Imid,OLS,0.06442277,0.727272814,13.3005,1,0,1
2,4,A,Imid,OLS,0.018261231,1.123159241,9.7913,1,0,1
2,4,G,Imid,OLS,0.025467962,1.0194954,6.9639,1,0,1
2,6,I,Imid,OLS,0.019752402,1.035391151,12.9804,1,0,1
2,7,F,Imid,OLS,0.061677525,0.478487305,14.0828,1,0,1
3,1,A,FipTOT,PLE,0.0321181,1.725175021,10.7426,1,0,1
3,1,I,FipTOT,PLE,0.16419294,1.34295,10.8321,1,0,1
3,4,H,FipTOT,PLE,0.113813046,2.117466169,23.3405,1,0,1
3,7,A,FipTOT,PLE,0.055741733,2.339183226,11.3478,1,0,1
3,7,C,FipTOT,PLE,0.129413289,1.530006724,11.2404,1,0,1
3,7,E,FipTOT,PLE,0.035164703,1.636974629,7.3804,1,0,1
3,2,G,FipTOT,OLS,0.16426118,0.717592235,8.5539,1,0,1
3,3,A,FipTOT,OLS,0.021762222,1.047219343,12.178,1,0,1
3,5,B,FipTOT,OLS,0.114864224,1.281327696,11.465,1,0,1
3,6,C,FipTOT,OLS,0.208656204,1.220139993,13.1914,1,0,1
3,6,G,FipTOT,OLS,0.230546973,1.103307511,11.7796,1,0,1
3,7,I,FipTOT,OLS,0.210706877,1.397009124,9.0658,1,0,1
3,1,A,Fip,PLE,0.017765338,1.678286602,10.7426,0,0,1
3,1,I,Fip,PLE,0.086421575,1.82,10.8321,0,0,1
3,4,H,Fip,PLE,0.087383869,2.073537763,23.3405,0,0,1
3,7,A,Fip,PLE,0.03655113,2.293421649,11.3478,0,0,1
3,7,C,Fip,PLE,0.080790623,1.461423506,11.2404,0,0,1
3,7,E,Fip,PLE,0.019580826,1.59985695,7.3804,0,0,1
3,2,G,Fip,OLS,0.090593929,0.69587111,8.5539,0,0,1
3,3,A,Fip,OLS,0.012082677,1.020571763,12.178,0,0,1
3,5,B,Fip,OLS,0.070675155,1.248651879,11.465,0,0,1
3,6,C,Fip,OLS,0.135551271,1.189906079,13.1914,0,0,1
3,6,G,Fip,OLS,0.127362902,1.071580039,11.7796,0,0,1
3,7,I,Fip,OLS,0.1452668,1.3625109,9.0658,0,0,1
